Date,Others,Tara BESS,BizDev & Carbon,GTB ,KBC Industrial,Hai Phong Green,CEBA Academy,REI & Peak,CPI ,DOS/NREL ,NIRAS/GEAPP,,,,,,,,,,,,
2025-07-21,"- Storm and strong wind caution
- Update co-working space options with Singapore and Philippines availaibility (Trang/Hang/Tung)","- Start work on Ecoplexus (Cong/Tung/Tinh)
- Creation of a simplified CfD settlement scenario for DPPA (Tinh/Cong/Tung)
- Nami support - next week ","- Literature review on random walk approach for future market pricing - methodology, commercial cases (Tinh/Cong/Tung)
- Sumitomo meeting (Tung)","- Follow up with BIDV on sector mapping (Hang/Trang/Tinh/Tung)
- Follow up with TCB on next steps (Scope 1&2) (Hang/Tung/Tinh)
- Techcombank strategic collaboration - corporate client green transition (Tung/Anh)
- Work on complete tool package Scope 1&2 for market distribution - team call (Hang/Tinh/Trang/Anh)",,"- Kinetic integration (Tung)
- Follow up with Josh on CarbonSim (Tung)
- Follow up with KBC/Alan on new proposal (Tung/Hang/Marc)","- Alpha review coordination (Anh/Aiden/Tung/others) - Module 3 (Topic 1&3), Module 5 (Topic 1&2)
- Continue with suppliers mapping using public information (Trang/Tung/Michelle)",- Stride outreach and update REI (Tung),"- 4th workshop report submission (Anh/Lauren/Tung)
- Final report outline (Anh/Trang/Tung/Aiden/Lauren)","- Submission of deliverables to NREL (Michelle/Cong/Trang/Anh/Tung)
- IDICO request on case study for grid impact analysis utility (Cong/Tung)",,,,,,,,,,,,,
2025-07-14,"- Trang off 2-days
- Co-working space options - Toong? (Hang/Trang/Anh)","- Presentations for Emivest and Regina (Cong/Trang/Tung)
- Share initial findings with Nami - Emivest (Cong/Trang/Tung)

","- Follow up with Saint-Gobain on SOW and NDA (Tung/Cong/Michelle)
- Follow up with Karan from Kinetic Coalition (Tung)
- Literature review on power market pricing emulation (Tinh/Tung/Cong)
- Follow up ACS 2025 (PUR, Nuao.io, SCG CleanErgy)","- Follow up with Ms.Linh from BIDV on financed emission - reply email, sector mapping (Hang/Tung/Trang/Tinh)
- Resume GTB next steps for BIDV and TCB - RECs (Hang/Tung/Tinh)
",,"- Integrate Hai Phong proposal with carbon market component - ACS & Kinetic Coalition (Hang/Tung/Aiden/Marc)
- KBC payment","- Follow up with Shreeya items in email (Anh/Trang)
","- Kukil preFS assessment - reporting template, data challenge (Cong/Trang/Anh/Rob)
- Data collection - AJ Solution, ENS (Cong/Trang/Rob)
- Chinese speaking support for site in Cambodia (all)","- Post-event follow up - forward email, media review, survey, speakers, audience, partner (Anh/Trang/Tung)
- 4th report outline and drafting (Anh/Tung/Aiden/Lauren)
- Payment process for deliverables (Anh/Lauren/Trang)
- Any issues with final report publishing material? (Tung/Anh)","- Presentations for Emivest and Regina (Cong/Trang/Tung)
- Complete TEA Report for HCA (Rob/Tung/Cong)",,,,,,,,,,,,,
2025-07-07,"- Trang probation sharing (Tung)
- Co-working space options - Toong? (Hang/Trang/Anh)
","- Start work on Ecoplexus - BESS vs DPPA (Cong/Tung/Tinh)
- REOpt solar+storage - Nami Regina replication (Trang/Tung/Cong)

","- Saint-Gobain NDA and SOW (Tung/Anh/Cong/Michelle)
- Update and organize DPPA policy folder (Anh/Trang/Tinh)
- Tinh research proposal progress for Professor review (Tinh/Tung/Cong/Anh)","- GTB 2025 progress presentation for Tara check-in (Tung/Anh/Trang)
- Follow up with Ms.Linh from BIDV (Hang/Tung)
- Develop package (VBA/other-syntax) for TCB on Scope 1&2 data aggregation (Tinh/Trang/Hang)",,- Integrate Hai Phong proposal with carbon market component  (Aiden/Hang/Tung/Marc),"- Continue with suppliers mapping using public information (Trang/Tung/Michelle)
- Update REC and RPS information onto training curriculum - CEBA email (Trang/Anh/Tung)","- Kukil preFS assessment (Cong/Trang/Rob)
- Further support for Peak Design suppliers; wait for ENS & AJ (Cong/Trang/Anh/Rob) ","- Final logistics - printing-RCEE/MC/lunch/others? (Anh/Trang/Tung)
","- Complete TEA Report for HCA (Rob/Tung/Cong)
- Continue 3 site analysis for NREL (Cong/Trang/Anh/Tung/Rob)",,,,,,,,,,,,,
2025-06-30,- Article 6 carbon transaction overview (Aiden/Hang)c,"
","- Tinh final chance for proposal sharing before Tung book a flight to Finland - July 4th/5th (Tinh/Tung/Cong)
- Follow up with PUMA on DPPA training (Tung/Michelle)
- Follow up with SaintGobain DPPA (Anh/Cong/Tung)
- Supply chain and CEBA participants Mapping (Anh/Tung/Trang)
- Resubmit lululemon strategy proposal (Michelle/Tung/Lauren/Rob)
- Submit CEBA Community Development proposal (Michelle/Tung/Anh/Trang)","- Submit timeline for financed emission to BIDV for review (Hang/Tung)
- Re-organize GTB folders for SLL clients with relevant resources for each (Anh/Trang/Hang)
- Prepare for BIDV kick-off meeting on financed emission assessment (Hang/Anh/Tung/Trang)
- Techcombank training for Scope 1&2 Excel tool (Hang/Anh/Tung)
- BIDV Scope 3 email reminder (Hang/Tung)",,- Rethink Hai Phong proposal with carbon market component - LCCP and Article 6 feasibility assessment? (Hang/Aiden/Tung/Marc),"- Post event emails (facilitators & participants) (Anh/Tung/Trang)
- Post event analysis (Anh/Trang)
",- Arrange call with Stride to understand the issue and confirm with REI & Jinquan (Tung/Cong),"- Confirm speakers and additional invitees (Anh/Trang/Tung)
- Follow up logistics with Eurocham (Anh/Trang/Tung)
- Invite Ban ban buon - chi Dau chi Tu to CPI event (Anh/Hang)
- Secure decent turn up for the event (Tung/Anh)
","- Draft TEA Report for HCA (Rob/Tung/Cong)
- Start 3 site analysis for NREL - Kukil/Emivest/Regina full week (Cong/Tung/Rob/Anh)
- Follow up with An Thinh (Tung/Cong)
",,,,,,,,,,,,,
2025-06-23,,"- Start work on Nami solar+storage analysis (Cong/???/Anh/Tung)
- Start work on Ecoplexus","- Follow up with lulu
- Follow up with PUMA
- Follow up with Vingroup","- SLL support (Anh/Hang/Tung)
- Breakdown timeline for BIDV financed emission work (Hang/Tung) ",,,- Execute workshop,"- Start analysis on Kukil? site for DOS/NREL deliverable (Cong/???/Anh/Tung)
- Alternative for Stride and follow up? (Cong/Anh)","- Invite Tara (Tung)
- Invite WB - CPI contact (Anh)
- Support Eurocham with next steps (Anh/Trang/Hang)","- Follow up with An Thinh Hoa Binh
- Start work on Nami solar+storage analysis (Cong/???/Anh/Tung)",,,,,,,,,,,,,
2025-06-16,"- Tsheet completion (Tung/Anh/Cong/Hang)
- Prep for Michelle and Marc
- SolarMapper TransitionZero update Vietnam capacity (Tinh/Cong/Trang)","- Ecoplexus confirmation and start work (Cong/Tung/NREL)
- Nami support for one site? (Cong/Tung/Anh)
- 2nd/3rd site discussion and decision (Cong/Tung/Michelle)
",- Tinh's research proposal for review (Tinh/Tung/Cong),"- TCB Scope 2 calculation verification (Cong/Hang/Tinh)
- BIDV training preparation - Scope 3 nonfinance (Hang/Anh/Tung)
- BIDV financed emission resources preparation (Hang/Anh/Tung)
- GTB Scope 1 & 2 toolkit application and Excel replication (Trang/Tinh/Hang)
- Prep Erik for GTB sharing if needed
- Scope 3 non-financial training (19/07) (Hang/Tung/Trang)",,- Prepare for the 6th proposal by 22 Jun,"- Presentations translation (Anh/Trang/Tinh/Hang)
- Review Vietnam Power Market presentation (Cong/Anh/Aiden/Tung)
- Confirm panelists, facilitators, presentations and participants (Anh/Trang/Aiden)
- Review and finalize interactive exercise (Anh/Tung/Cong)
- Gifts preparation (An.h/Hang/Trang) ~budget 500k ","- Follow up with sites for data collection and initial analysis? (Cong/Anh/Trang)
- Discuss and plan the possibility of preFS assessments by end of June ","- Confirm speakers and participants (Anh/Trang/Hang)
- Coordinate next steps with Eurocham (Anh/Trang/Hang)
-Media confirmation
- Invite TARA",- Follow up with NREL on three potential areas of support (Cong/Tung),,,,,,,,,,,,,
2025-06-09,, ,"- lululemon proposal and quotation (Tung/Cong/Rob)
- Vingroup proposal sharing (Marc/Seth/Lauren/Tung)
- Update Amazon on DPPA submission to NSMO (Tung/Cong)
- Vingroup response for questions (US/Hang/Tung)
- Tinh review additional data and work on thesis (Tinh/Tung/Cong)","- Share with Trang guidance for Scope 1&2 toolkit for review and future replication (Tinh/Hang/Tung)
- TCB sector mapping support (Hang/Tinh/Anh)
- BIDV preparation (Hang/Anh/Tung)",,"- Upsot Mr On director (Hang)
- Update wider team on status ","- Confirm speakers, panelists, facilitators, presentations and participants (Anh/Tung/Aiden)
- Melia final arrangement (Anh/Tung/Lauren)
- Draft and review Vietnam Power Market presentation (Cong/Tinh/Anh/Tung)
- Upload Agenda and Slides (Anh/Aiden/Tung)
- Review interactive exercises for participants (Anh/Aiden/Tung) 
- Translator invoicing (Anh)","- Project folder (Anh/Cong/Rob)
- Share tools and guidance with Trang - OIA case (Anh/Cong/Rob/Tung) 
- Wed call with Peak & supplier (Rob/Anh/Cong)","- Move weekly call timing (Anh/Tung)
- Next steps with Eurocham and logistics (Anh/Hang/Tung)
- Confirm budget for speaker accommodation (Anh/Lauren)
","- UDICO and alternatives for NREL support (Tung/Cong/Michelle)
- Nami data sufficient for a 3rd site under NREL to meet KPI? (Cong/Tung/Michelle)
- Value proposition for industrial parks? (Rob/Marc/Tung/Cong)",,,,,,,,,,,,,
2025-06-02,,"- Potential data collection request for early design of 32MWac solar project in Ninh Sim Khanh Hoa if possible (Cong/Tung/Anh)
- Finalize 2nd site for data analysis - developer/KBC/IDICO/VSIP/SHP/Deep-C/Saigontel (Cong/Michelle/Tung)
- Review data shared by Ecoplexus and discuss next steps (Cong/Tung/Rob/Anh)","- PUMA proposal & sharing (Lauren/Cong/Tung/Michelle)
- Vingroup proposal (Erik/Michelle/Aiden/Hang/all)
- Tinh research question and proposal review (Tinh/Tung/Cong/Rob)","- Share resources for BIDV work and arrange internal call (Hang/Anh/Tinh/Tung)
- TCB sample technical reports - GEAPP & REI presentation after remove site info (Anh/Cong/Tung)
- Coordinate internal call (Hang/Tung/Tinh)
- TCB GHG training Friday (30/05)
- Toolkit for Scope 1&2 self-calculation for banks (Tinh/Hang/Tung)",,"- Public/network share JD for senior advisor (Michelle/Tung/Hang/all)
- Sort out roadblock with DAE director (Tung/Hang/KBC)
- Reminder for advancement with KBC (Tung/Lauren)","- Melia issue to be resolved (Lauren/Michelle/Tung)
- Submit CEBA Digital Content review (Aiden/Anh/Tung)
- CEBA presentation for submission (Aiden/Anh/Cong/Hang/Tung)
- EAC/RECs presentation drafting (Anh/Aiden/Hang/Cong) 
- Confirm participants; facilitators (1-chinese-Lotus); speakers (policy-legal); speakers' deadline (Anh/Hang/Tung)
- Upload photos onto CEBA sharepoint this week (Anh/Hang)",,"- CPI extension sharing (Tung/Lauren)
- Next steps following Eurocham timeline? (Anh/Hang/Tung)","- OpenDSS case study sharing with UDICO existing data (Cong/Tung/all)
- Connect UDICO with NREL given continuation (Tung/Cong/Michelle)",,,,,,,,,,,,,x 
2025-05-26,- Finalize analyst hiring (Michelle/Tung),,"- VinGroup carbon credit slides (Hang/Aiden/Erik/others)
- PUMA proposal (Lauren/Cong/Tung)
- Tinh research question and proposal review (Tinh/Tung/Cong/Rob)
- Amazon follow up - applications being submittef for DPPA (Tung/Michelle?)
- FiinRatings discussion on transition finance (Tung/Anh)",,,"- Share JD for senior advisor (Michelle/Tung/Hang)
- Plan resources for first report (Hang/Tung)","- Review CEBA Digital Content continue (Anh/Hang/Cong/Aiden/Tung)
- Finalize external speakers and facilatators - DPPA, policy (Giles > Ananth), carbon (ALLCOT) (Anh/Hang/Tung)
- Melia issue to be resolved (Lauren/Michelle/Tung)
- CEBA presentation for submission (Aiden/Anh/Cong/Hang/Tung)",- Resolve EAC/REC concerns for Jinquan and REI (Cong/Anh),"- Logistics for 4th WS (9th July) (Anh/Lauren/Hang)
- Finalise topics for 4th workshop - review Eurocham agenda with CPI (Anh/Hang/Tung)
- Review and adjust outline of final report (Anh/Lauren/Aiden/Tung)
- internal Review with CPI (Tung/Anh)","- OpenDSS learning resources and follow up with Haley (Cong/Rob/Tung)
- Follow with UDICO on TEA framework and NREL intro (Tung/Cong)",,,,,,,,,,,,,
2025-05-19,"- Support for LUPA and solar+storage model (Cong/Svetlana/Bob)
- Melia issue to be resolved (Lauren/Michelle/Tung)
- Tara support to be discussed (Tung/Michelle/Marc)
- CEBA sharing on LinkedIn? (Lauren/Anh/Tung)","- Submit BESS policy overview (Tung/Aiden/Lauren)
- Follow up Ecoplexus and kick-off meeting (Tung/Cong/Anh/Aiden)","- PUMA follow up (all) - send a reply next week
- Tinh research question and proposal review - energy market modelling (Tung/Cong/Aiden/Anh/Hang/Rob)","- TCB weekly timeline (Hang/Tung)
- Preparation for BIDV - financed emission, roadmap and SLL (Hang/Anh/Tinh/Tung)
- Transition Finance Framework for Hard to Abate sector call with Tara and FiinRatings (Tung/Anh/Hang)
- Preparation for discussion with FiinRatings and Tara on Transition Finance Framework for BIDV in relation with Decision 198? (Anh/Tung)",,"- Reorganize folder and draft monthly timeline (Hang/Tung)
- Finalize and share JD for senior advisor
- Confirm approval from HP and send invoice to KBC (Hang/Tung/Lauren)","- Thank you email to participants with photos and social media instruction (Tung/Anh)
- Follow up with CEBA weekly tasks (Anh/Tung/Tinh/Hang)
- Finalize external speakers - carbon, RTS, DPPA (Anh/Hang/Tung/Cong)
- Review CEBA Digital Content (Anh/Hang/Cong/Aiden/Tung)
",- Arrange trilateral meeting (Cong/Anh/Tung),- Review and adjust outline of final report (Anh/Lauren/Aiden/Tung),"- Follow up UDICO for further data sharing (Tung/Cong)
- NREL discussion on further technical support (Cong/Rob/Tung)",,,,,,,,,,,,,
2025-05-12,- Process next two candidates (local),- Decision on Ecoplexus next step (all),,"- BIDV preparation and response (Hang/Anh/Tung)
- Plan resources and tools for next phase with TCB and BIDV (Hang/Tung/Tinh)",,"- Hai Phong official docs sign and seal (Hang/Tung)
- Prepare invoice for 1st official payment (all)
- Scan all docs for Lauren and Cherise ",,- Review and share offer from Stride with Jinquan (Cong/Anh/Tung),- Set up a Zoom call with Ms. Chi (15/16),-  Follow up with NREL on grid impact study support (Cong/Tung),,,,,,,,,,,,,
2025-05-05,- Update site analysis package for future RTS or DPPA work (Cong/Aiden),"- Review and share SOW with Ecoplexus (Cong/Tung/Rob)
- Finalize policy content and brainstorm public sharing ideas","- Connect ISPONRE with Marc - polite decline 
","- Plan kick-off with BIDV and TCB (Tung/Hang)
- Kick-off presentations with TCB (Hang/Tung/Anh)",,"- Finalize senior advisor request for interest and share (Tung/Michelle/Hang)
- Scan all docs for Lauren and Cherise 
- Start liaising with DAE and Global Advisory on visit (Hang/Tung)","- Finalize internal slides (Anh/Hang/Tung/Tinh)
- Collect draft presentations from speakers - review SP (Anh/Tung/Cong)
- VNmese and Chinese translation tracking (Tinh/Anh/Tung)
- Interactive exercise and table arrangement (Aiden/Anh/Cong/Tung)",- Share site information with Stride (Anh/Cong),"- Coordinate with CPI and Eurocham on final dates (Tung/Anh)
- Start outline on final reporting (include something about inclusivity, ratio of men/women) (Aiden/Lauren/Tung)
",- Follow up with NREL on grid impact study support (Cong/Tung),- Send official email to NIRAS inquiring about contract,,,,,,,,,,,,
2025-04-28,- Share test evaluation and panel interview feedback (Tinh/Hang/Cong),"- Draft detailed SOW for Ecoplexus site in Khanh Hoa (Cong/Tung/Anh)
- Review and submit BESS policy overview (Cong/Aiden/Lauren)",- Update site analysis package for future RTS or DPPA work (Cong/Aiden),"- Scope 2 target sharing with BIDV (Hang/Aiden/Anh/Cong) 28/4
",,"- Finalize submission and dispatch and receive approval from HP (Hang/Tung) 28-30/4
","- Reminder email (28-) 
- Slides for CEBA (Week of 28/04) (Aiden/Cong)
- Prepare translation for CEBA slide (Tinh/Hang)",,,- Confirm deliverables commited by NREL (Cong/Rob),,,,,,,,,,,,,
2025-04-21,"- Prepare resources for Amazon Device contract kick-off in May (Tung/Cong/Tinh/others)
- Review candidates for next round (Anh/Cong/Hang)
- Labour Day holiday schedule (all)Inte","- Develop outline and early draft for BESS policy overview (Tung/Lauren/Anh/Cong)
- Meeting with Ecoplexus for utility BESS support (Tung/Cong/Anh)
","- Call with senior staff in chargeo of Article 6 transaction under Ministry of Environment and VinGroup 
- Arrange in-person meeting with Idemitsu during CEBA workshop week","- New timeline confirmation (Hang/Tung)
",,"- KBC paperwork minor adjustment (Tung)
- Finalize submission and receive approval from HP (Hang/Tung) 28-30/4
- Finalize senior advisor request for interest and share (Hang/Tung/Michelle)","- Suggestion for speakers and interactive exercise guidance (Anh/Aiden/Hang)
- TransitionZero replacement for policy presentation and coordinators invite (Anh/Tung) 
- Review RTS and DPPA slides for 2025 new policy update (Cong/Anh/Aiden/Tinh)
",- Stride NDA execution (Tung),"-Post-event email (Hang/Anh)
-Post-event workshop report and invoicing (Anh/Lauren/Tung)
- Review CPI Amendment VN (Tung)
- Plan last workshop timing and contact Eurocham (Tung/Anh)
",,"- Submit final report and invoicing - expect delay due to GEAPP staff change? (Cong/Tung/Lauren)
- Post LinkedIN",,,,,,,,,,,,
2025-04-14,"- Candidate assessment and panel (Tung/all) 
- Tara platform","- Start outline on policy summary report 

(Lauren started a draft for a starting point)","- Final call with Amazon Device (Michelle/Tung)
- Tinh market simulation for DPPA - Cong share reading (Cong/Tung/Tinh) ","- New timeline kick-off (Hang/Tung)
- Scope 2 reduction planning (Hang/Tinh/Aiden)
",,- Finalize senior advisor request for interest and share (Hang/Tung/Michelle),"- CEBA Slides for 22/04 (Tung/Cong/Aiden/Tinh)
- Suppliers email confirmation 14-18 (Anh/Tung)
- Speakers email invitiation - GY, SP (Anh/Hang/Tung)
- CEBA interactive exercise start (Tung/Aiden/Hang)
- Dates for 3rd workshop",- Reply REI and plan for Jinquan (Tung),"- Final logistics for Workshop 3 - lunch, attendance, Slido (Anh/Hang) 
- Start outline on Workshop 3 reporting (Anh/Tung)
- Plan last workshop timing and contact Eurocham
- Start outline on final reporting","- Draft Opportunity report (All/Aiden)
- Draft Stakeholder engagement pager (All/Aiden)
- Collect IDICO data for NREL blueprint (Tung)",- Submit final report with all comments addressed (Tung/Cong),,,,,,,,,,,,
2025-04-08,- Tara platform,"- Review and submit landscape report (Tung/Aiden/Lauren)
- Ecoplexus NDA execution (Tung)",- Return Amazon SOW and finalize discussion (Michelle/Tung),"- TCB Invoicing processes (Lauren/Hang)
- Calculate Scope 2 emisison reduction scenarios (Hang/Tinh/Aiden/Tung)",,"- Align with DOAE template and resubmit (Hang/Tung)
- Process payment with KBC (Tung)","- Invitations for speakers and coordinators (Hang/Tung)
- CEBA interactive exericse start (Tung/Aiden/Hang)
- Internal review update CEBA slides for 2025 (Anh/Tinh/Hang/Aiden/Cong)
- CEBA Slides for 22/04 (Tung/Cong/Aiden/Tinh)
",- Update for Jinquan and Stride,"- Draft presentation for workshop (Tung/Cong/Tinh)
- Final preparation for workshop (Hang/Tung)","- Collect data from IDICO (Cong/Tung)
- Draft Opportunity report (All/Aiden)
- Draft Stakeholder engagement pager (All/Aiden)","- Workshop presentation (Cong)
- Submit final report with all comments addressed ",,,,,,,,,,,,
2025-03-31,- Start interviewing Sustainability Analyst candidates (Tung/others),"- Review draft BESS for external submission
","- Update Academy slides for Target  to address comments (Anh/Aiden/Tung)
","- Review data for electricity consumption and understand emission reduction scenario for Scope 1&2 (Cong/Hang)
- SLL coordination for Newtecon and BIDV (Hang/Tung)",,"- Finalize and distribute JD for senior consultant
- Revise proposal to align with template","- Finalize draft agenda/speakers with CEBA (Tung/Anh/Hang/Cong)
",- Compare Stride offer with CAPEX (Cong/Hang),"- Finalize name, invitation and panel discussion for sharing (Tung/Anh/Hang)
- Start preparing slides for workshop (Cong/Tung/Anh) - 16/04","- Summary of practical engagement with IPs - KBC, IDICO, Ecoplexus, others (Tung/others) 
- Collect data for grid impact analysis - contact Mr Tuan (Tung/Cong)
- Collect data for private wire DPPA with industrial park - contact Mr Hien Ecoplexus (Tung/Cong)
- Start coordinating Opportunity Report writing 
- Start coordinating Stakeholder Engagement writing
",- Prepare for April workshop - 09/04 (Cong/Tung),,,,,,,,,,,,
2025-03-24,"- Share office proposal 
- Tung out of office from Thursday
- Svetlana meeting 
- Anh OOO (02/04-11/04)
-","- Complete early draft for BESS landscape for internal review (all)
- Revise internal draft for submission next week","- Collect all relevant docs on power market pricing from NSMO and EVN (Tinh/Anh)
- Academy slides for Target (Aiden/Anh/Tung)
- CEBA DPPA slides for Eric (Cong/Anh/Tung)","- Update financed emission report for resharing with BIDV (Hang/Tung)
- Finalize payment process with TCB (Hang/Lauren)
- Reshare MoU with BIDV and TCB for finalization (Hang/Anh/Tung)
- BIDV Scope 2 (power) Emission Reduction (Hang/Cong/Tung)
- Tara confirmation (Tung)",,"- Finalize senior consultant JD for sharing
- Prep for March 31st workshop - slides, foreiners (Hang/Anh/Tung)","- Confirm venue - 12-13/5 (Anh/Hang/Tung)
- Slide for CEBA webinar - summary of Decree 57, 58 (Tung/Cong/Aiden/Anh)
",- Update from Stride and Jinquan (Anh/Tung),"- Share internal list of invitees and compare with HSBC, CPI (Anh/Tung)
- Finalize invitations for sharing (Anh/Hang)
- Start preparing slides for workshop (Cong/Tung/Anh)","- Summary of practical engagement with IPs - KBC, IDICO, Ecoplexus, others (Tung/others) 
- Draft outline for Opportunity Report (Tung/Aiden/others)
- Start coordinating Opportunity Report writing 
","- Review financial numbers for Nami meeting 
- Final feedback integration and submit report ",,,,,,,,,,,,
2025-03-17,"- Reading and preparation of Monte Carlo simulation for power market (Tinh/Anh/others) - vPPA case, Duke energy analytics, ASEAN Grid modelling TZ, Vietnam Power Market 
- OCR tool for VNmese doc check - software: PDF-XChange editor? LLNP? (Tinh)
- Publish Sustainability Analyst position (all)
- Budget proposal for office package (Hang/Anh)","- Ecoplexus meeting - Tuesday 10.30am? (Tung/Cong)
- PoweRoad meeting - Wednesday 9.30am (Cong/Tung)
- Review and advance drafting BESS landscape report (Tung/Aiden/Anh/Cong/Tung/Tinh)
- Cont. spreadsheet for projects to be supported technically (Tung/Cong)
","- Return Amazon revised contract with further clarification - Chinese speaking member (MIchelle/Tung/others)
- DPPA mechanism internal review Update to related party, Public information if any ????","- Revise MoU with BIDV and TCB for finalization (Hang/Anh/Tung)
- 21/3: Data collection for offices to draft transition roadmap - energy consumption, power device setting, basically energy audit (Hang/Cong/Tung)   
- Update financed emission report with BIDV feedback (Hang/Tung)
- Update target setting report with BIDV feedback (Hang/Anh/Tung)",,"- Submit signed revised proposal to Hai Phong (Hang/Tung)
- Finalize advancement VAT and contract with Hai Phong (Tung/other)
- Discuss potential senior consultant in Hanoi to engage for Hai Phong and NREL thermal component (Hang/Anh/Cong/others) ","- Check Hanna timeline for March and action items (Anh/Tung)
- Agenda review and speakers planning (Tung/Anh/Hang/Cong)
- Internal review update CEBA slides for 2025 (Anh/Tinh/Hang/Aiden/Cong)
- Webinar with CEBA and ACEC for April 22nd (Tung/Cong/Anh/Tinh)",- Collect feedback from Jinquan for next steps  (Cong/Anh),"- Confirm final agenda and continue logistics  (Anh/Hang/Tung)
- Request for travel (Tung)","- Local plan for execution of two deliverables - layout for Opp Report (all)
- NREL topics for technical support - IDICO grid and Ecoplexus physical DPPA 30% Apple/Google investment? (Cong/others)
- Confirm with Michelle on approach (Tung)","- Support with reporting template (Tinh/Anh)
- Finalize and submit report? (Cong/Tung)",,,,,,,,,,,,
2025-03-10,- Meeting rent shortlisting (Hang/Anh/Tinh),"- Review drafting BESS landscape report (Aiden/Anh/Cong/Tung/Tinh)
- Cont. spreadsheet for projects to be supported technically (Cong/Tung)
- ICED Twin Transition work - Saigon Hi-Tech Park (Tung/Cong)
- Ecoplexus outreach (Tung/Cong)","- Complete draft GTB 2025 proposal for sharing (Tung)
- DeepC outreach (Tung)
- Cont. list of carbon clients from database (Tinh/Aiden)
- slides for amazon (Anh/Tung/Cong)","- Review TCB Scope 1&2 report (Tung/Hang)
- Review PowerPoint presentation for BIDV MoU discussion (Tung/Hang/Anh/Tinh)
- Cont. review financed emission report with current data and results (Hang/Tung/Anh)
- Review Excel dashboard for Scope 1&2 data analysis TCB and BIDV (Tinh/Tung/Hang)
",,"- Update dates and share proposal with DONRE contact point (Hang/Tung)
","- Translation turn around and CEBA folders explore (Anh/Tinh)
",- Review and share Jinquan presentation (Anh/Cong/Tung),"- Revise agenda to match with HSBC and energy transition topic (Anh/Tung/Hang)
- Cont. finalize logistics and invitation plan for April workshop (Hang/Anh/Tung)
- HSBC sharing (Tung)
",,- Complete final report and share with NIRAS - update content (Cong/Anh/Tung) ,,,,,,,,,,,,
2025-03-03,"- Check PHL data on electric cooperatives (Cong/Sam/Erik)
- Office rent necessary (Tung/Michelle)","- Start BESS landscape report structure (Tung/Aiden/Anh/Cong/Tinh)
- Begin drafting BESS landscape report (Aiden/Anh/Cong/Tung/Tinh)
- Cont. spreadsheet for projects to be supported technically (Cong/Tung)","- Complete Google BESS pager (Cong/Anh/Tung)
- Update and address Tara's comments for GTB 2025 
- Arrangement for in-person meeting mid-March - Idemitsu/Amazon/BIDV/IFC/carbon (Tung/others)
- Cont. list of carbon clients from database (Tinh/Aiden).","- Review financed emission report with current data and results (Hang/Tung/Anh)
- Outline MOU with BIDV - TCB for 2025 for submission (Hang/Tung/Anh)
- Draft PowerPoint presentation for BIDV MoU discussion (Hang/Anh/Tinh/Tung)
- Excel dashboard for Scope 1&2 data analysis TCB and BIDV (Tinh/Tung/Hang)
",,"- Finalize contract with KBC (Tung)
- Workshop 6/3 (Tung/Hang)
","- Finalize May workshops timing with Hanna (Tung/Anh/Michelle)
- Agenda review and speakers planning (Tung/Anh/Hang/Cong)
- Summary of new Decree 56, 57, 58 (Anh/Cong/Tung)
- Internal review update CEBA slides for 2025 (Anh/Tinh/Hang/Aiden/Cong)
- Draft survey & interview evaluation report for Corrina sharing (Anh/Tinh/Tung)
- Translate DPPA application guidance (Anh/Tinh/Tung)",- Presentation on steps for Jinquan (Anh/Tinh/Cong),"- Confirm changes on final workshop with CPI (Tung/Anh)
- Finalize logistics and invitation plan for April workshop (Hang/Anh/Tung)
- Finalize speakers and agenda with CBI and CPI (all)",,"- Cont. review updated financial reports and Excel file (Tung/Rob/Anh)
- Cashflow table for reporting (Cong/Tung)",,,,,,,,,,,,
2025-02-24,- Philippines team support with AURELCO solar farm project (Erik/Cong/Alnie) ,"- Start email exchange with UL Homer Pro for Professional Plan purchase - 6 or 12 months? (Cong/Tung/Michelle)
- Screen data from IDICO/UDICO and discuss internally  (Cong/Tung/Anh)
- Spreadsheet for projects to be supported technically (Cong/Tung)
","- Internal review BESS and DPPA value proposition - breakdown cost components for Google Device (Michelle/Rob/Cong/Tung)
- Quick bullets on BESS - one pager for Google Device with supplier 7-8MWp rooftop solar also batteries manufacturer (Cong/Anh/Tung)
- List of carbon clients from database (Tinh/Aiden)","- Review drafting financed emission report with current data and results (Hang/Tung/Anh)
- Review general guide for banks' scope 1& 2 assessment (Tung/Hang/Tinh)
- Review Near term target setting and alliance/association membership consideration for BIDV 2 (Tung/Hang/Anh)
- PowerBI/Excel dashboard for data analysis (Tinh/Tung/Hang)
 - TCB collecing data and making report",,"- Share June options with Hai Phong and await response (Hang/Tung)
","- Brainstorm possible dates for 1st, 2nd and 3rd workshop (Anh/Tung)
- Internal review update CEBA slides for 2025 (Anh/Tinh/Hang/Aiden/Cong)
- Share progress of survey and interview with CEBA (Anh/Tinh/Tung)
- Translate DPPA application guidance (Anh/Tinh/Tung)",,"- Cont logistic budgeting for April event (Anh/Hang)
- Brainstorm JD for Sustainability Data Analyst position in Hanoi (Tung/Michelle/others)",,- Review updated financial reports and Excel file (Tung/Rob/Anh),,,,,,,,,,,,
